Tanggal,Kecamatan,pam,pat,elevasi
1/1/2018,Kalideres,1154930,17945,5.352066161
1/1/2018,Cengkareng,883655,13730,3.352066161
1/1/2018,Tambora,128,2,4.352066161
1/1/2018,Grogol Petamburan,373284,5800,4.352066161
1/1/2018,Taman Sari,207430,3223,5.352066161
1/1/2018,Kebon Jeruk,1283585,19944,10.352066161
1/1/2018,Kembangan,706538,10978,10.352066161
1/1/2018,Palmerah,692314,10757,9.352066161
1/1/2018,Menteng,1111166,17265,10.391615491
1/1/2018,Tanah Abang,604078,9386,10.391615491
1/1/2018,Sawah Besar,260848,4053,4.391615491
1/1/2018,Gambir,393944,6121,4.391615491
1/1/2018,Cempaka Putih,101366,1575,6.391615491
1/1/2018,Johar Baru,4247,66,11.391615491
1/1/2018,Kemayoran,160062,2487,5.391615491
1/1/2018,Senen,167205,2598,10.391615491
1/1/2018,Kramat Jati,345867,5374,36.364437924
1/1/2018,Ciracas,3470584,53925,52.364437924
1/1/2018,Cipayung,2035368,31625,73.364437924
1/1/2018,Makasar,1685445,26188,29.364437924
1/1/2018,Pasar Rebo,246625,3832,48.364437924
1/1/2018,Jatinegara,243729,3787,17.364437924
1/1/2018,Duren sawit,330228,5131,20.364437924
1/1/2018,Matraman,89652,1393,9.364437924
1/1/2018,Pulo Gadung,417435,6486,11.364437924
1/1/2018,Cakung,444016,6899,9.364437924
1/1/2018,Tanjung Priok,24199,376,4.389159601
1/1/2018,Cilincing,643,10,2.389159601
1/1/2018,Kelapa gading,152145,2364,5.389159601
1/1/2018,Koja,6114,95,5.389159601
1/1/2018,Pademangan,461328,7168,4.389159601
1/1/2018,Penjaringan,1178615,18313,1.389159601
1/1/2018,Setiabudi,1357277,21089,23.394847367
1/1/2018,Tebet,1197150,18601,18.394847367
1/1/2018,Keb Baru,1107690,17211,20.394847367
1/1/2018,Keb Lama,2621747,40736,25.394847367
1/1/2018,Cilandak,2518515,39132,38.394847367
1/1/2018,Pesanggrahan,372898,5794,22.394847367
1/1/2018,Pasar Minggu,5340871,82985,39.394847367
1/1/2018,Jagakarsa,1121850,17431,62.394847367
1/1/2018,Mampang Prapatan,1295942,20136,26.394847367
