Tanggal,tahun,bulan,bulan_2,wilayah,Kecamatan,pam,pat
1/1/2021,2021,January,1,Jakarta Utara,Cilincing,5119.702,80
1/1/2021,2021,January,1,Jakarta Utara,Kelapa gading,391088.4,6076
1/1/2021,2021,January,1,Jakarta Utara,Koja,8085.039,126
1/1/2021,2021,January,1,Jakarta Utara,Pademangan,190057.208735578,948
1/1/2021,2021,January,1,Jakarta Utara,Penjaringan,690734.330637355,13539
1/1/2021,2021,January,1,Jakarta Utara,Tanjung Priok,2747.92446531813,43
2/1/2021,2021,February,2,Jakarta Utara,Cilincing,5083.048,79
2/1/2021,2021,February,2,Jakarta Utara,Kelapa gading,400872.6,6229
2/1/2021,2021,February,2,Jakarta Utara,Koja,8054.186,125
2/1/2021,2021,February,2,Jakarta Utara,Pademangan,187390.384027361,898
2/1/2021,2021,February,2,Jakarta Utara,Penjaringan,683861.409212356,13404
2/1/2021,2021,February,2,Jakarta Utara,Tanjung Priok,2642.81830320037,41
3/1/2021,2021,March,3,Jakarta Utara,Cilincing,5046.394,78
3/1/2021,2021,March,3,Jakarta Utara,Kelapa gading,410656.8,6381
3/1/2021,2021,March,3,Jakarta Utara,Koja,8023.333,125
3/1/2021,2021,March,3,Jakarta Utara,Pademangan,184792.835387035,850
3/1/2021,2021,March,3,Jakarta Utara,Penjaringan,677056.874498165,13271
3/1/2021,2021,March,3,Jakarta Utara,Tanjung Priok,2541.73237724795,40
4/1/2021,2021,April,4,Jakarta Utara,Cilincing,5009.74,78
4/1/2021,2021,April,4,Jakarta Utara,Kelapa gading,420441,6533
4/1/2021,2021,April,4,Jakarta Utara,Koja,7992.48,124
4/1/2021,2021,April,4,Jakarta Utara,Pademangan,182261.054588606,804
4/1/2021,2021,April,4,Jakarta Utara,Penjaringan,670320.046035639,13139
4/1/2021,2021,April,4,Jakarta Utara,Tanjung Priok,2444.5129162785,38
5/1/2021,2021,May,5,Jakarta Utara,Cilincing,4973.086,77
5/1/2021,2021,May,5,Jakarta Utara,Kelapa gading,430225.2,6685
5/1/2021,2021,May,5,Jakarta Utara,Koja,7961.627,124
5/1/2021,2021,May,5,Jakarta Utara,Pademangan,179791.793329569,761
5/1/2021,2021,May,5,Jakarta Utara,Penjaringan,663650.250136319,13008
5/1/2021,2021,May,5,Jakarta Utara,Tanjung Priok,2351.0120307483,37
6/1/2021,2021,June,6,Jakarta Utara,Cilincing,4936.432,77
6/1/2021,2021,June,6,Jakarta Utara,Kelapa gading,440009.4,6837
6/1/2021,2021,June,6,Jakarta Utara,Koja,7930.774,123
6/1/2021,2021,June,6,Jakarta Utara,Pademangan,177382.038171663,720
6/1/2021,2021,June,6,Jakarta Utara,Penjaringan,657046.819815057,12879
6/1/2021,2021,June,6,Jakarta Utara,Tanjung Priok,2261.08748778381,35
7/1/2021,2021,July,7,Jakarta Utara,Cilincing,4899.778,76
7/1/2021,2021,July,7,Jakarta Utara,Kelapa gading,449793.6,6989
7/1/2021,2021,July,7,Jakarta Utara,Koja,7899.921,123
7/1/2021,2021,July,7,Jakarta Utara,Pademangan,175028.988430644,682
7/1/2021,2021,July,7,Jakarta Utara,Penjaringan,650509.094723317,12751
7/1/2021,2021,July,7,Jakarta Utara,Tanjung Priok,2174.60249481806,34
8/1/2021,2021,August,8,Jakarta Utara,Cilincing,4863.124,76
8/1/2021,2021,August,8,Jakarta Utara,Kelapa gading,459577.8,7141
8/1/2021,2021,August,8,Jakarta Utara,Koja,7869.068,122
8/1/2021,2021,August,8,Jakarta Utara,Pademangan,172730.036608174,645
8/1/2021,2021,August,8,Jakarta Utara,Penjaringan,644036.421083141,12624
8/1/2021,2021,August,8,Jakarta Utara,Tanjung Priok,2091.42549150273,33
9/1/2021,2021,September,9,Jakarta Utara,Cilincing,4826.47,75
9/1/2021,2021,September,9,Jakarta Utara,Kelapa gading,469362,7293
9/1/2021,2021,September,9,Jakarta Utara,Koja,7838.215,122
9/1/2021,2021,September,9,Jakarta Utara,Pademangan,170482.751022968,611
9/1/2021,2021,September,9,Jakarta Utara,Penjaringan,637628.151621773,12498
9/1/2021,2021,September,9,Jakarta Utara,Tanjung Priok,2011.42994957954,31
10/1/2021,2021,October,10,Jakarta Utara,Cilincing,4789.816,74
10/1/2021,2021,October,10,Jakarta Utara,Kelapa gading,479146.2,7445
10/1/2021,2021,October,10,Jakarta Utara,Koja,7807.362,121
10/1/2021,2021,October,10,Jakarta Utara,Pademangan,168284.860351091,578
10/1/2021,2021,October,10,Jakarta Utara,Penjaringan,631283.645506926,12374
10/1/2021,2021,October,10,Jakarta Utara,Tanjung Priok,1934.49418040636,30
11/1/2021,2021,November,11,Jakarta Utara,Cilincing,4753.162,74
11/1/2021,2021,November,11,Jakarta Utara,Kelapa gading,488930.4,7597
11/1/2021,2021,November,11,Jakarta Utara,Koja,7776.509,121
11/1/2021,2021,November,11,Jakarta Utara,Pademangan,166134.239828994,547
11/1/2021,2021,November,11,Jakarta Utara,Penjaringan,625002.268282701,12251
11/1/2021,2021,November,11,Jakarta Utara,Tanjung Priok,1860.50114984534,29
12/1/2021,2021,December,12,Jakarta Utara,Cilincing,4716.508,73
12/1/2021,2021,December,12,Jakarta Utara,Kelapa gading,498714.6,7749
12/1/2021,2021,December,12,Jakarta Utara,Koja,7745.656,120
12/1/2021,2021,December,12,Jakarta Utara,Pademangan,164028.898909211,518
12/1/2021,2021,December,12,Jakarta Utara,Penjaringan,618783.391806141,12129
12/1/2021,2021,December,12,Jakarta Utara,Tanjung Priok,1789.33830023138,28
1/1/2022,2022,January,1,Jakarta Utara,Cilincing,4679.854,73
1/1/2022,2022,January,1,Jakarta Utara,Kelapa gading,508498.8,7901
1/1/2022,2022,January,1,Jakarta Utara,Koja,7714.803,120
1/1/2022,2022,January,1,Jakarta Utara,Pademangan,161966.970188937,490
1/1/2022,2022,January,1,Jakarta Utara,Penjaringan,612626.394184416,12008
1/1/2022,2022,January,1,Jakarta Utara,Tanjung Priok,1720.89737915029,27
2/1/2022,2022,February,2,Jakarta Utara,Cilincing,4643.2,72
2/1/2022,2022,February,2,Jakarta Utara,Kelapa gading,518283,8053
2/1/2022,2022,February,2,Jakarta Utara,Koja,7683.95,119
2/1/2022,2022,February,2,Jakarta Utara,Pademangan,159946.699457185,464
2/1/2022,2022,February,2,Jakarta Utara,Penjaringan,606530.659712634,11889
2/1/2022,2022,February,2,Jakarta Utara,Tanjung Priok,1655.07427476591,26
3/1/2022,2022,March,3,Jakarta Utara,Cilincing,4606.546,72
3/1/2022,2022,March,3,Jakarta Utara,Kelapa gading,528067.2,8205
3/1/2022,2022,March,3,Jakarta Utara,Koja,7653.097,119
3/1/2022,2022,March,3,Jakarta Utara,Pademangan,157966.436727567,439
3/1/2022,2022,March,3,Jakarta Utara,Penjaringan,600495.578812266,11770
3/1/2022,2022,March,3,Jakarta Utara,Tanjung Priok,1591.76885744602,25
4/1/2022,2022,April,4,Jakarta Utara,Cilincing,4569.892,71
4/1/2022,2022,April,4,Jakarta Utara,Kelapa gading,537851.4,8357
4/1/2022,2022,April,4,Jakarta Utara,Koja,7622.244,118
4/1/2022,2022,April,4,Jakarta Utara,Pademangan,156024.628141857,416
4/1/2022,2022,April,4,Jakarta Utara,Penjaringan,594520.547970194,11653
4/1/2022,2022,April,4,Jakarta Utara,Tanjung Priok,1530.88482744582,24
5/1/2022,2022,May,5,Jakarta Utara,Cilincing,4533.238,70
5/1/2022,2022,May,5,Jakarta Utara,Kelapa gading,547635.6,8509
5/1/2022,2022,May,5,Jakarta Utara,Koja,7591.391,118
5/1/2022,2022,May,5,Jakarta Utara,Pademangan,154119.808644788,393
5/1/2022,2022,May,5,Jakarta Utara,Penjaringan,588604.969678355,11537
5/1/2022,2022,May,5,Jakarta Utara,Tanjung Priok,1472.32956841743,23
6/1/2022,2022,June,6,Jakarta Utara,Cilincing,4496.584,70
6/1/2022,2022,June,6,Jakarta Utara,Kelapa gading,557419.8,8661
6/1/2022,2022,June,6,Jakarta Utara,Koja,7560.538,117
6/1/2022,2022,June,6,Jakarta Utara,Pademangan,152250.595343573,372
6/1/2022,2022,June,6,Jakarta Utara,Penjaringan,582748.25237399,11422
6/1/2022,2022,June,6,Jakarta Utara,Tanjung Priok,1416.01400652262,22
7/1/2022,2022,July,7,Jakarta Utara,Cilincing,4459.93,69
7/1/2022,2022,July,7,Jakarta Utara,Kelapa gading,567204,8813
7/1/2022,2022,July,7,Jakarta Utara,Koja,7529.685,117
7/1/2022,2022,July,7,Jakarta Utara,Pademangan,150415.681476753,352
7/1/2022,2022,July,7,Jakarta Utara,Penjaringan,576949.810380487,11309
7/1/2022,2022,July,7,Jakarta Utara,Tanjung Priok,1361.85247493432,21
8/1/2022,2022,August,8,Jakarta Utara,Cilincing,4423.276,69
8/1/2022,2022,August,8,Jakarta Utara,Kelapa gading,576988.2,8965
8/1/2022,2022,August,8,Jakarta Utara,Koja,7498.832,117
8/1/2022,2022,August,8,Jakarta Utara,Pademangan,148613.830926485,334
8/1/2022,2022,August,8,Jakarta Utara,Penjaringan,571209.063848815,11196
8/1/2022,2022,August,8,Jakarta Utara,Tanjung Priok,1309.76258352082,20
9/1/2022,2022,September,9,Jakarta Utara,Cilincing,4386.622,68
9/1/2022,2022,September,9,Jakarta Utara,Kelapa gading,586772.4,9117
9/1/2022,2022,September,9,Jakarta Utara,Koja,7467.979,116
9/1/2022,2022,September,9,Jakarta Utara,Pademangan,146843.873216545,316
9/1/2022,2022,September,9,Jakarta Utara,Penjaringan,565525.438699537,11085
9/1/2022,2022,September,9,Jakarta Utara,Tanjung Priok,1259.66509351453,20
10/1/2022,2022,October,10,Jakarta Utara,Cilincing,4349.968,68
10/1/2022,2022,October,10,Jakarta Utara,Kelapa gading,596556.6,9269
10/1/2022,2022,October,10,Jakarta Utara,Koja,7437.126,116
10/1/2022,2022,October,10,Jakarta Utara,Pademangan,145104.698945358,299
10/1/2022,2022,October,10,Jakarta Utara,Penjaringan,559898.366565402,10975
10/1/2022,2022,October,10,Jakarta Utara,Tanjung Priok,1211.48379697452,19
11/1/2022,2022,November,11,Jakarta Utara,Cilincing,4313.314,67
11/1/2022,2022,November,11,Jakarta Utara,Kelapa gading,606340.8,9421
11/1/2022,2022,November,11,Jakarta Utara,Koja,7406.273,115
11/1/2022,2022,November,11,Jakarta Utara,Pademangan,143395.255609428,283
11/1/2022,2022,November,11,Jakarta Utara,Penjaringan,554327.284734507,10865
11/1/2022,2022,November,11,Jakarta Utara,Tanjung Priok,1165.14540085958,18
12/1/2022,2022,December,12,Jakarta Utara,Cilincing,4276.66,66
12/1/2022,2022,December,12,Jakarta Utara,Kelapa gading,616125,9573
12/1/2022,2022,December,12,Jakarta Utara,Koja,7375.42,115
12/1/2022,2022,December,12,Jakarta Utara,Pademangan,141714.54377779,268
12/1/2022,2022,December,12,Jakarta Utara,Penjaringan,548811.636094026,10757
12/1/2022,2022,December,12,Jakarta Utara,Tanjung Priok,1120.57941553533,17
1/1/2023,2023,January,1,Jakarta Utara,Cilincing,4240.006,66
1/1/2023,2023,January,1,Jakarta Utara,Kelapa gading,625909.2,9725
1/1/2023,2023,January,1,Jakarta Utara,Koja,7344.567,114
1/1/2023,2023,January,1,Jakarta Utara,Pademangan,140061.613582669,253
1/1/2023,2023,January,1,Jakarta Utara,Penjaringan,543350.8690745,10650
1/1/2023,2023,January,1,Jakarta Utara,Tanjung Priok,1077.71804754592,17
2/1/2023,2023,February,2,Jakarta Utara,Cilincing,4203.352,65
2/1/2023,2023,February,2,Jakarta Utara,Kelapa gading,635693.4,9877
2/1/2023,2023,February,2,Jakarta Utara,Koja,7313.714,114
2/1/2023,2023,February,2,Jakarta Utara,Pademangan,138435.561495491,240
2/1/2023,2023,February,2,Jakarta Utara,Penjaringan,537944.437594675,10544
