Tanggal,tahun,bulan,bulan_2,wilayah,Kecamatan,pam,pat,pred_elevasi
1/1/2021,2021,January,1,Jakarta Utara,Cilincing,5119.702,80,2.18822006109755
1/1/2021,2021,January,1,Jakarta Utara,Kelapa gading,391088.4,6076,5.22554780943686
1/1/2021,2021,January,1,Jakarta Utara,Koja,8085.039,126,5.21339290442304
1/1/2021,2021,January,1,Jakarta Utara,Pademangan,190057.208735578,948,4.15813324104026
1/1/2021,2021,January,1,Jakarta Utara,Penjaringan,690734.330637355,13539,1.19788203610802
1/1/2021,2021,January,1,Jakarta Utara,Tanjung Priok,2747.92446531813,43,4.15104324011495
2/1/2021,2021,February,2,Jakarta Utara,Cilincing,5083.048,79,2.18822006109755
2/1/2021,2021,February,2,Jakarta Utara,Kelapa gading,400872.6,6229,5.22554780943686
2/1/2021,2021,February,2,Jakarta Utara,Koja,8054.186,125,5.21339290442304
2/1/2021,2021,February,2,Jakarta Utara,Pademangan,187390.384027361,898,4.15813324104026
2/1/2021,2021,February,2,Jakarta Utara,Penjaringan,683861.409212356,13404,1.19788203610802
2/1/2021,2021,February,2,Jakarta Utara,Tanjung Priok,2642.81830320037,41,4.15104324011495
3/1/2021,2021,March,3,Jakarta Utara,Cilincing,5046.394,78,2.18822006109755
3/1/2021,2021,March,3,Jakarta Utara,Kelapa gading,410656.8,6381,5.22554780943686
3/1/2021,2021,March,3,Jakarta Utara,Koja,8023.333,125,5.21339290442304
3/1/2021,2021,March,3,Jakarta Utara,Pademangan,184792.835387035,850,4.15813324104026
3/1/2021,2021,March,3,Jakarta Utara,Penjaringan,677056.874498165,13271,1.19788203610802
3/1/2021,2021,March,3,Jakarta Utara,Tanjung Priok,2541.73237724795,40,4.15104324011495
4/1/2021,2021,April,4,Jakarta Utara,Cilincing,5009.74,78,2.18822006109755
4/1/2021,2021,April,4,Jakarta Utara,Kelapa gading,420441,6533,5.22554780943686
4/1/2021,2021,April,4,Jakarta Utara,Koja,7992.48,124,5.21339290442304
4/1/2021,2021,April,4,Jakarta Utara,Pademangan,182261.054588606,804,4.15813324104026
4/1/2021,2021,April,4,Jakarta Utara,Penjaringan,670320.046035639,13139,1.19788203610802
4/1/2021,2021,April,4,Jakarta Utara,Tanjung Priok,2444.5129162785,38,4.15104324011495
5/1/2021,2021,May,5,Jakarta Utara,Cilincing,4973.086,77,2.18822006109755
5/1/2021,2021,May,5,Jakarta Utara,Kelapa gading,430225.2,6685,5.22554780943686
5/1/2021,2021,May,5,Jakarta Utara,Koja,7961.627,124,5.21339290442304
5/1/2021,2021,May,5,Jakarta Utara,Pademangan,179791.793329569,761,4.15813324104026
5/1/2021,2021,May,5,Jakarta Utara,Penjaringan,663650.250136319,13008,1.19788203610802
5/1/2021,2021,May,5,Jakarta Utara,Tanjung Priok,2351.0120307483,37,4.15104324011495
6/1/2021,2021,June,6,Jakarta Utara,Cilincing,4936.432,77,2.18822006109755
6/1/2021,2021,June,6,Jakarta Utara,Kelapa gading,440009.4,6837,5.22554780943686
